dimensiuneTotala,2023-05-28T11:53:40.4423472
viewAllElements,2023-05-28T11:53:50.0198943
afiseazaElemente,2023-05-28T11:53:50.0338638
readLocalData,2023-05-28T11:54:10.0378284
addElement,2023-05-28T11:54:17.271039
adaugaElement,2023-05-28T11:54:17.272015
dimensiuneTotala,2023-05-28T11:58:24.3082804
viewAllElements,2023-05-28T11:58:32.7193861
afiseazaElemente,2023-05-28T11:58:32.7323516
readLocalData,2023-05-28T11:58:54.045205
addElement,2023-05-28T11:59:08.3723928
adaugaElement,2023-05-28T11:59:08.3723928
viewAllElements,2023-05-28T11:59:10.1017346
afiseazaElemente,2023-05-28T11:59:10.1017346
viewElement,2023-05-28T12:00:05.8251876
updateElement,2023-05-28T12:00:18.5326814
actualizeazaFotografie,2023-05-28T12:00:18.5336803
actualizeazaElement,2023-05-28T12:00:20.5859063
viewAllElements,2023-05-28T12:00:21.5449326
afiseazaElemente,2023-05-28T12:00:21.5459353
viewElement,2023-05-28T12:00:41.8971831
cautaElement,2023-05-28T12:00:41.8981857
viewElement,2023-05-28T12:00:52.2924498
cautaElement,2023-05-28T12:00:52.2939832
viewElement,2023-05-28T12:00:57.3404231
cautaElement,2023-05-28T12:00:57.3414296
viewElement,2023-05-28T12:01:16.9894336
removeElement,2023-05-28T12:01:17.060245
stergeElement,2023-05-28T12:01:17.0612566
viewElement,2023-05-28T12:02:09.404014
cautaElement,2023-05-28T12:02:09.4050216
viewElement,2023-05-28T12:02:12.8400373
stergeElement,2023-05-28T12:02:12.8400373
viewAllElements,2023-05-28T12:02:21.5765977
filtrareElemente,2023-05-28T12:02:21.578595
viewAllElements,2023-05-28T12:02:29.734337
filtrareElemente,2023-05-28T12:02:29.734337
viewAllElements,2023-05-28T12:02:37.696694
filtrareElemente,2023-05-28T12:02:37.696694
viewAllElements,2023-05-28T12:02:53.9291299
filtrareElemente,2023-05-28T12:02:53.9311255
viewAllElements,2023-05-28T12:03:25.5339118
filtrareElemente,2023-05-28T12:03:25.5339118
readLocalData,2023-05-28T12:03:37.6669559
readLocalData,2023-05-28T12:03:42.4324576
viewAllElements,2023-05-28T12:03:42.4324576
filtrareElemente,2023-05-28T12:03:42.434453
viewAllElements,2023-05-28T12:04:18.6489586
